iter	Passed	Remaining
0	49	49390
1	49	24932
2	50	16695
3	50	12582
4	50	10115
5	51	8473
6	51	7293
7	51	6408
8	51	5718
9	52	5167
10	52	4716
11	52	4341
12	52	4023
13	53	3750
14	53	3513
15	53	3306
16	54	3124
17	54	2962
18	54	2816
19	54	2685
20	55	2567
21	55	2459
22	55	2361
23	55	2271
24	56	2188
25	56	2111
26	56	2040
27	56	1975
28	57	1913
29	57	1856
30	57	1802
31	57	1752
32	58	1705
33	58	1661
34	58	1619
35	58	1579
36	59	1542
37	59	1506
38	59	1473
39	60	1441
40	60	1410
41	60	1381
42	60	1353
43	61	1326
44	61	1301
45	61	1277
46	61	1254
47	62	1231
48	62	1210
49	62	1190
50	62	1170
51	63	1151
52	63	1132
53	63	1115
54	63	1098
55	64	1082
56	64	1066
57	64	1051
58	64	1036
59	65	1022
60	65	1008
61	65	994
62	65	981
63	66	968
64	66	957
65	66	945
66	67	933
67	67	922
68	67	911
69	67	900
70	68	890
71	68	880
72	68	870
73	68	860
74	69	851
75	69	842
76	69	833
77	69	824
78	70	816
79	70	807
80	70	799
81	70	791
82	70	782
83	71	775
84	71	767
85	71	760
86	71	753
87	72	746
88	72	740
89	72	733
90	72	726
91	72	720
92	73	714
93	73	708
94	73	702
95	73	696
96	74	690
97	74	685
98	74	679
99	74	674
100	75	669
101	75	664
102	75	659
103	75	654
104	76	649
105	76	645
106	76	640
107	77	636
108	77	631
109	77	627
110	77	623
111	78	618
112	78	614
113	78	610
114	78	606
115	79	602
116	79	598
117	79	594
118	79	590
119	80	587
120	80	583
121	80	579
122	80	576
123	81	572
124	81	569
125	81	565
126	81	562
127	82	559
128	82	555
129	82	552
130	82	549
131	83	546
132	83	543
133	83	540
134	83	537
135	84	534
136	84	531
137	84	528
138	84	525
139	85	523
140	86	524
141	86	521
142	86	518
143	86	516
144	87	513
145	87	511
146	87	508
147	87	505
148	88	503
149	88	500
150	88	498
151	88	495
152	89	493
153	89	490
154	89	488
155	89	486
156	90	483
157	90	481
158	90	479
159	90	477
160	91	474
161	91	472
162	91	469
163	91	467
164	92	465
165	92	463
166	92	461
167	92	459
168	93	457
169	93	455
170	93	453
171	93	451
172	94	449
173	94	447
174	94	445
175	94	443
176	95	442
177	95	440
178	95	438
179	95	436
180	96	434
181	96	433
182	96	431
183	96	429
184	97	427
185	97	426
186	97	424
187	97	423
188	98	421
189	98	419
190	98	418
191	99	416
192	99	415
193	99	413
194	99	412
195	100	410
196	100	409
197	100	407
198	100	406
199	101	404
200	101	403
201	101	401
202	101	400
203	102	398
204	102	397
205	102	396
206	103	394
207	103	393
208	103	392
209	103	390
210	104	389
211	104	388
212	104	386
213	104	385
214	105	384
215	105	383
216	105	381
217	106	380
218	106	379
219	106	377
220	106	376
221	107	375
222	107	374
223	107	373
224	107	371
225	108	370
226	108	369
227	108	368
228	109	367
229	109	366
230	109	364
231	109	363
232	110	362
233	110	361
234	110	360
235	110	359
236	111	357
237	111	356
238	111	355
239	111	354
240	112	353
241	112	352
242	112	350
243	112	349
244	113	348
245	113	347
246	113	346
247	113	345
248	114	344
249	114	343
250	114	342
251	114	341
252	115	340
253	115	339
254	115	338
255	115	336
256	116	335
257	116	334
258	116	333
259	116	332
260	117	331
261	117	330
262	117	329
263	117	328
264	118	327
265	118	326
266	118	325
267	118	324
268	119	323
269	119	322
270	119	321
271	119	320
272	120	319
273	120	318
274	120	317
275	120	316
276	121	315
277	121	314
278	121	314
279	121	313
280	122	312
281	122	311
282	122	310
283	122	309
284	122	308
285	123	307
286	123	306
287	123	305
288	123	304
289	124	304
290	124	303
291	124	302
292	124	301
293	125	300
294	125	299
295	125	298
296	125	297
297	126	297
298	126	296
299	126	295
300	126	294
301	127	293
302	127	292
303	127	292
304	127	291
305	128	290
306	128	289
307	128	288
308	128	288
309	129	287
310	129	286
311	129	285
312	129	285
313	130	284
314	130	283
315	130	282
316	130	282
317	131	281
318	131	280
319	131	279
320	131	279
321	132	278
322	132	277
323	132	276
324	132	276
325	133	275
326	133	274
327	133	274
328	133	273
329	134	272
330	134	271
331	134	271
332	135	270
333	135	269
334	135	269
335	135	268
336	136	267
337	136	267
338	136	266
339	136	265
340	137	264
341	137	264
342	137	263
343	137	262
344	138	262
345	138	261
346	138	260
347	138	259
348	139	259
349	139	258
350	139	257
351	139	257
352	139	256
353	140	255
354	140	255
355	140	254
356	140	253
357	141	253
358	141	252
359	141	251
360	141	251
361	142	250
362	142	249
363	142	249
364	142	248
365	143	247
366	143	247
367	143	246
368	143	245
369	144	245
370	144	244
371	144	244
372	144	243
373	145	242
374	145	242
375	145	241
376	145	240
377	146	240
378	146	239
379	146	239
380	146	238
381	146	237
382	147	237
383	147	236
384	147	235
385	147	235
386	148	234
387	148	234
388	148	233
389	148	232
390	149	232
391	149	231
392	149	231
393	149	230
394	150	229
395	150	229
396	150	228
397	150	228
398	151	227
399	151	226
400	151	226
401	151	225
402	152	225
403	152	224
404	152	224
405	152	223
406	153	222
407	153	222
408	153	221
409	153	221
410	153	220
411	154	220
412	154	219
413	154	219
414	154	218
415	155	217
416	155	217
417	155	216
418	155	216
419	156	215
420	156	215
421	156	214
422	156	214
423	157	213
424	157	212
425	157	212
426	157	211
427	158	211
428	158	210
429	158	210
430	158	209
431	159	209
432	159	208
433	159	208
434	159	207
435	160	207
436	160	206
437	160	206
438	160	205
439	161	204
440	161	204
441	161	203
442	161	203
443	161	202
444	162	202
445	162	201
446	162	201
447	162	200
448	163	200
449	163	199
450	163	199
451	164	198
452	164	198
453	164	197
454	164	197
455	165	196
456	165	196
457	165	195
458	165	195
459	166	194
460	166	194
461	166	194
462	166	193
463	167	193
464	167	192
465	167	192
466	167	191
467	168	191
468	168	190
469	168	190
470	168	189
471	169	189
472	169	188
473	169	188
474	169	187
475	170	187
476	170	186
477	170	186
478	170	185
479	171	185
480	171	185
481	171	184
482	171	184
483	172	183
484	172	183
485	172	182
486	173	182
487	173	181
488	173	181
489	173	180
490	174	180
491	174	179
492	174	179
493	174	179
494	175	178
495	175	178
496	175	177
497	175	177
498	176	176
499	176	176
500	176	175
501	176	175
502	177	174
503	177	174
504	177	174
505	177	173
506	178	173
507	178	172
508	178	172
509	178	171
510	179	171
511	179	170
512	179	170
513	179	170
514	180	169
515	180	169
516	180	168
517	180	168
518	181	167
519	181	167
520	181	167
521	182	166
522	182	166
523	182	165
524	182	165
525	183	164
526	183	164
527	183	164
528	183	163
529	184	163
530	184	162
531	184	162
532	184	161
533	185	161
534	185	161
535	185	160
536	185	160
537	186	159
538	186	159
539	186	158
540	186	158
541	187	158
542	187	157
543	187	157
544	187	156
545	188	156
546	188	156
547	188	155
548	188	155
549	189	154
550	189	154
551	189	153
552	189	153
553	190	153
554	190	152
555	190	152
556	191	151
557	191	151
558	191	151
559	191	150
560	192	150
561	192	149
562	192	149
563	192	149
564	193	148
565	193	148
566	193	147
567	193	147
568	194	147
569	194	146
570	194	146
571	194	145
572	195	145
573	195	145
574	195	144
575	195	144
576	196	143
577	196	143
578	196	143
579	196	142
580	197	142
581	197	141
582	197	141
583	198	141
584	198	140
585	198	140
586	198	139
587	199	139
588	199	139
589	199	138
590	199	138
591	200	137
592	200	137
593	200	137
594	200	136
595	201	136
596	201	135
597	201	135
598	201	135
599	202	134
600	202	134
601	202	133
602	202	133
603	203	133
604	203	132
605	203	132
606	203	131
607	204	131
